feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_molp,CD1b_molp,CD1c_molp,CD1d_molp
LPE 22:1;0,LPE,GPL,LYS,22,1,0,NA,0.185715837,0.0148928111165348,NA
LPE 24:0;0,LPE,GPL,LYS,24,0,0,0.00410250487640407,0.121643747,0.174759142122244,NA
LPE 24:1;0,LPE,GPL,LYS,24,1,0,NA,0.070720184,0.0634289645264054,NA
LPE O-16:1;0,LPE O-,GPL,LYS,16,1,0,0.014716173978415,0.134799248,0.417073078128489,0.018046038
LPE O-18:0;0,LPE O-,GPL,LYS,18,0,0,NA,0.046957972,NA,NA
LPE O-18:1;0,LPE O-,GPL,LYS,18,1,0,0.0137937462157742,0.344056466,0.140883956149198,0.00642744
LPE O-18:2;0,LPE O-,GPL,LYS,18,2,0,0.0168052688196895,0.208936073,0.132780435181182,0.020310785
LPG 18:0;0,LPG,GPL,LYS,18,0,0,NA,NA,NA,NA
LPG 18:1;0,LPG,GPL,LYS,18,1,0,0.0184636510581964,NA,0.0371706578437549,NA
LPI 16:0;0,LPI,GPL,LYS,16,0,0,NA,NA,0.0705138418079206,NA
LPI 18:0;0,LPI,GPL,LYS,18,0,0,0.0435941260186208,0.234646409,0.315089417349811,NA
LPI 18:1;0,LPI,GPL,LYS,18,1,0,0.0428112458841022,NA,0.216202917793775,NA
LPI 20:1;0,LPI,GPL,LYS,20,1,0,NA,NA,NA,NA
LPI 20:2;0,LPI,GPL,LYS,20,2,0,NA,NA,0.0419446583833851,NA
LPS 18:0;0,LPS,GPL,LYS,18,0,0,0.0763905024148551,0.20943093,0.198826615131226,NA
LPS 18:1;0,LPS,GPL,LYS,18,1,0,0.0461153865704511,NA,0.0928989954283612,NA
LPS 24:0;0,LPS,GPL,LYS,24,0,0,NA,0.243880269,0.112843773954829,NA
LPS 24:1;0,LPS,GPL,LYS,24,1,0,NA,NA,NA,NA
PA 14:0;0_18:1;0,PA,GPL,MEM,32,1,0,0.0933315229348977,NA,NA,NA
PA 16:0;0_16:1;0,PA,GPL,MEM,32,1,0,0.232967909171624,NA,NA,NA
PA 15:0;0_18:1;0,PA,GPL,MEM,33,1,0,NA,NA,NA,NA
PA 16:0;0_18:0;0,PA,GPL,MEM,34,0,0,0.0581529900907634,NA,0.0328547990337662,0.09977611
PA 16:0;0_18:1;0,PA,GPL,MEM,34,1,0,0.373436011152547,NA,0.0643276187832367,NA
PA 16:1;0_18:0;0,PA,GPL,MEM,34,1,0,0.106161279308721,NA,0.0616169650106997,NA
PA 17:0;0_17:1;0,PA,GPL,MEM,34,1,0,NA,NA,NA,NA
PA 16:1;0_18:1;0,PA,GPL,MEM,34,2,0,0.259049752847144,NA,NA,NA
PA 17:1;0_17:1;0,PA,GPL,MEM,34,2,0,0.0536750313306257,NA,NA,NA
PA 17:0;0_18:0;0,PA,GPL,MEM,35,0,0,NA,NA,NA,NA
PA 16:0;0_20:1;0,PA,GPL,MEM,36,1,0,0.014124350213988,NA,NA,NA
PA 18:0;0_18:1;0,PA,GPL,MEM,36,1,0,0.127476343401343,NA,NA,NA
PA 16:1;0_20:1;0,PA,GPL,MEM,36,2,0,NA,NA,NA,NA
PA 18:0;0_18:2;0,PA,GPL,MEM,36,2,0,NA,NA,NA,NA
PA 18:1;0_18:1;0,PA,GPL,MEM,36,2,0,0.387159613950767,NA,NA,NA
PA 18:0;0_20:2;0,PA,GPL,MEM,38,2,0,NA,NA,NA,NA
PA 18:1;0_20:1;0,PA,GPL,MEM,38,2,0,0.1846409804534,NA,0.189175753198309,NA
PC 12:0;0_16:0;0,PC,GPL,MEM,28,0,0,0.00495274541406535,0.029226859,0.0274794269443711,0.011725852
PC 13:0;0_15:0;0,PC,GPL,MEM,28,0,0,0.00465153721368565,0.017755461,0.0121798456716175,0.015244111
PC 14:0;0_14:0;0,PC,GPL,MEM,28,0,0,NA,NA,0.046188960391738,0.025012576
PC 11:0;0_18:0;0,PC,GPL,MEM,29,0,0,0.00204901783546009,NA,NA,NA
PC 12:0;0_17:0;0,PC,GPL,MEM,29,0,0,0.00885927919284522,0.04255688,0.0154897485464132,0.02820654
PC 13:0;0_16:0;0,PC,GPL,MEM,29,0,0,0.020820558592862,0.064779765,0.0808090159274067,0.056280814
PC 14:0;0_15:0;0,PC,GPL,MEM,29,0,0,0.00610122267321063,0.037858213,0.0869621141693903,0.109280043
