feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,CD1a-100-a,CD1a-100-b,CD1a-150-a,CD1a-150-b,CD1a-20-a,CD1a-20-b,CD1a-50-a,CD1a-50-b,CD1a-75-a,CD1a-75-b,CD1c-100-a,CD1c-100-b,CD1c-150-a,CD1c-150-b,CD1c-20-a,CD1c-20-b,CD1c-50-a,CD1c-50-b,CD1c-75-a,CD1c-75-b
,,,,,,,shortname,CD1aBa,CD1aBb,CD1aAa,CD1aAb,CD1aEa,CD1aEb,CD1aDa,CD1aDb,CD1aCa,CD1aCb,CD1cBa,CD1cBb,CD1cAa,CD1cAb,CD1cEa,CD1cEb,CD1cDa,CD1cDb,CD1cCa,CD1cCb
,,,,,,,cohort,CD1a-100,CD1a-100,CD1a-150,CD1a-150,CD1a-20,CD1a-20,CD1a-50,CD1a-50,CD1a-75,CD1a-75,CD1c-100,CD1c-100,CD1c-150,CD1c-150,CD1c-20,CD1c-20,CD1c-50,CD1c-50,CD1c-75,CD1c-75
DAG 15:0;0_18:1;0,DAG,GL,MEM,33,1,0,,0.120521663067462,0.111592124103594,0.137445850886418,0.115342077699681,NA,NA,0.123390248389728,0.125436053725832,0.117606630536988,0.130389338635025,0.0355113440173751,0.0286978169231845,0.0277885816498432,0.0305775929902732,0.0827461811056289,NA,0.0351383652032682,0.0369140694532644,0.0352527531233084,0.0382923341672272
DAG 16:0;0_17:1;0,DAG,GL,MEM,33,1,0,,0.0608723377670777,0.0598524990906172,0.0700994167579673,0.0630848840019575,NA,NA,0.0652600869721335,0.0669140653549055,0.0646475419541103,0.0680080229260493,0.0113789284432101,NA,0.00852104267299228,0.00952116016449559,NA,NA,NA,NA,NA,0.0128518605577033
DAG 16:1;0_17:0;0,DAG,GL,MEM,33,1,0,,0.0386075403315874,0.0359784285820303,0.0378184474385031,0.0353385047038587,NA,NA,0.0491207097129874,0.0493057784842505,0.0440251849503022,0.0460313117102636,NA,NA,NA,NA,0.0600404780207245,NA,NA,NA,NA,NA
DAG 16:0;0_18:0;0,DAG,GL,MEM,34,0,0,,0.316347676673604,0.327269890657476,0.309630242635688,0.310014005908644,0.443701233087376,0.442667055353517,0.35227319086286,0.388758500554416,0.326087607520171,0.33928694305432,NA,NA,NA,NA,0.164464224270131,NA,NA,0.0592440593743588,NA,0.0669947680459094
DAG 14:0;0_20:1;0,DAG,GL,MEM,34,1,0,,NA,0.0181422026858988,NA,0.0185764045651682,0.0175400603566499,0.0242399054755797,0.0196536621556824,NA,0.0299493236701061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAG 16:0;0_18:1;0,DAG,GL,MEM,34,1,0,,1.72964597878073,1.91212385911251,1.77314956001177,1.79573212959311,1.77370618805491,1.84335918516705,1.83248941640177,1.85441703339952,1.84023164630147,NA,0.551900821145953,0.494735080229828,0.457902549400586,0.445376321527299,0.692337776627775,0.561160715903674,0.499990500090646,0.541181147230205,0.524742863029104,0.569984624509915
DAG 16:1;0_18:0;0,DAG,GL,MEM,34,1,0,,0.12199983466013,0.156406599541459,0.128144479964877,0.128559707576617,0.138562757725434,0.146552082493301,0.136610018343438,0.147198873300656,0.152249868356726,2.06373380972527,0.0288522936404336,0.0302148812244263,0.0440856827063122,0.0364002417104596,0.0799333252753259,0.0531352912317978,0.0394172720770796,0.0456406278534368,0.0481896650186069,0.0492481750835032
DAG 16:0;0_18:2;0,DAG,GL,MEM,34,2,0,,0.0344359104789512,0.0365291235376605,0.0322750503359534,0.0325193484385738,NA,0.0509636762592484,0.0326269057848998,0.0340295697428077,0.0366831086902378,0.038179864076611,0.00844082284005239,0.00968883438246679,0.0069266472927235,0.00818949657829566,0.0443417807363069,NA,0.00982775032175645,0.0103350985917741,0.00968151947133238,0.0128900979837074
DAG 16:1;0_18:1;0,DAG,GL,MEM,34,2,0,,0.953113754113033,1.05274842377281,0.958085392181753,0.943801286602664,0.963517926565169,1.0080036595902,0.988640182423499,0.980360870991064,0.990559338802863,0.998064499932561,0.148616581407479,0.155160250045734,0.134290896665092,0.146097309271539,0.249431740855417,0.179298253497627,0.156526750109233,0.159116059706994,0.160304651238935,0.172627561205208
DAG 16:2;0_18:0;0,DAG,GL,MEM,34,2,0,,NA,0.00824255072697173,0.00577532229566928,NA,NA,NA,NA,NA,0.00276915056611333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
